iter	RMSE	MAE
94	1914.959481	1338.180883
95	1902.660866	1329.880048
96	1889.654506	1320.294789
97	1876.628966	1310.390119
98	1864.649652	1301.026963
99	1851.440091	1291.590089
100	1839.04662	1281.985359
101	1827.126941	1272.563313
102	1814.670032	1263.08954
103	1802.414919	1253.522319
104	1790.669176	1244.619832
105	1778.348467	1235.44498
106	1765.761311	1226.566469
107	1753.523455	1217.535825
108	1740.880839	1208.349428
109	1729.276652	1199.316508
110	1717.878853	1191.19384
111	1706.599011	1183.310948
112	1695.393598	1174.650509
113	1683.313285	1166.336012
114	1671.741258	1157.554613
115	1660.964982	1149.18905
116	1649.75439	1140.62918
117	1638.472289	1132.242289
118	1628.293153	1125.820056
119	1617.463403	1117.548498
120	1606.589845	1109.837813
121	1596.311856	1103.386309
122	1586.962986	1096.766262
123	1576.503722	1089.103848
124	1565.51872	1081.55554
125	1554.791338	1073.563223
126	1544.705092	1066.157808
127	1534.102523	1059.179071
128	1523.458643	1052.091248
129	1513.100572	1044.252868
130	1502.674676	1036.681343
131	1492.783933	1029.564255
132	1482.801935	1022.03714
133	1472.361454	1014.610909
134	1462.590134	1007.416988
135	1452.69491	1000.087516
136	1444.353606	993.6814595
137	1434.596739	986.8060405
138	1425.227551	979.5462825
139	1415.983866	973.4812365
140	1406.994606	967.0658839
141	1397.374632	959.8245841
142	1388.02557	953.0234185
143	1378.380336	945.7572354
144	1369.19682	938.8760142
145	1360.559618	932.495688
146	1351.041119	925.7746874
147	1342.093813	918.8875081
148	1333.117526	912.3313157
149	1324.570457	906.4498535
150	1316.06967	900.118811
151	1307.572737	893.68858
152	1298.79716	887.568874
153	1290.818779	881.7308549
154	1282.883754	876.0941838
155	1275.450266	870.6695296
156	1266.767841	864.2234075
157	1258.838515	858.8932412
158	1250.237193	852.824607
159	1241.653796	846.4553722
160	1233.257837	840.5732416
161	1224.966087	834.3716327
162	1216.77438	828.1824361
163	1208.524403	822.3442861
164	1200.798423	816.4370697
165	1192.596335	810.7938626
166	1184.511735	804.8212923
167	1176.659654	798.9009957
168	1168.267648	793.0790466
169	1160.860352	787.1243293
170	1152.914378	781.2781467
171	1145.301571	775.387187
172	1137.660219	770.5940524
173	1129.781358	764.9915262
174	1122.802208	759.7393044
175	1115.357908	754.222102
176	1108.198487	748.7968982
177	1100.872756	743.4670208
178	1093.899381	739.0039972
179	1086.453862	733.6276841
180	1079.122752	728.3352205
181	1072.897009	723.9456165
182	1065.578848	718.6934524
183	1058.791238	713.6409284
184	1052.131644	708.6041413
185	1045.400366	703.3121601
186	1038.486518	698.3963705
187	1031.374531	693.3752378
188	1024.092022	688.2754937
189	1017.378803	683.2655498
190	1010.422827	678.1962395
191	1004.234239	674.0302844
192	997.3770357	669.0050265
193	990.7411503	664.1952909
194	984.4691903	659.7669397
195	977.9908991	654.9627174
196	971.5415915	650.0869875
197	965.5725267	646.017204
198	959.7270475	641.8481882
199	953.095119	636.9735077
200	946.7207983	632.4892219
201	940.4501532	628.3182877
202	934.5015445	623.8191113
203	928.0138089	619.0976266
204	922.3502777	614.9473391
205	916.3262593	610.8135618
206	911.245125	606.5840226
207	905.5998248	602.3071296
208	900.0629174	597.9142769
209	894.4044502	594.0711202
210	888.8552877	589.8389834
211	883.4238509	585.7381095
212	877.6519817	581.7179104
213	871.8018996	577.6710414
214	866.6726747	574.2241784
215	861.1147263	570.1497186
216	855.3202913	565.9775594
217	849.945594	562.7171832
218	845.191639	559.0818756
219	839.4950907	554.9291728
220	833.8425967	550.8298948
221	828.6437927	546.9960469
222	823.1111677	542.9700496
223	817.8607024	539.3591703
224	812.7205085	535.5343802
225	807.3169971	531.9342646
226	802.3442295	528.0235358
227	797.5332681	524.4933072
228	792.0803279	520.9167569
229	787.2864374	517.3680506
230	782.186841	513.5505743
231	776.8386519	509.899173
232	772.1087881	506.2601194
233	767.1277581	502.5418309
234	762.6982867	499.6651535
235	757.7567994	495.9891004
236	753.2230706	492.9782115
237	748.8763245	490.2356409
238	744.3687351	487.1735388
239	739.417395	483.8324051
240	734.7585696	480.3963538
241	730.3636922	476.9611686
242	725.6768008	473.7811239
243	720.7952593	470.5491749
244	716.1963224	467.1117117
245	711.5108741	463.8458089
246	706.6828782	460.5329779
247	702.3289327	457.4039839
248	697.8185202	454.0400751
249	693.4214383	451.0147498
250	689.1271821	448.1912051
251	684.5226936	444.9056028
252	679.9661933	441.7779661
253	675.5586999	438.8775732
254	671.2635095	435.6764746
255	667.0359531	432.4670089
256	663.2261338	429.6778892
257	659.1595452	426.5311368
258	655.2547778	424.0722681
259	651.2150536	421.1625888
260	647.2067052	418.264018
261	643.1352219	415.2792855
262	639.050068	412.2620634
263	634.8307797	409.2017169
264	630.88947	406.2005736
265	627.3718542	403.5119775
266	623.568169	400.6061789
267	619.6896707	397.6743017
268	615.881895	394.8745149
269	611.9464151	392.0344761
270	607.9949749	389.5435668
271	604.1520999	386.9578403
272	600.4541991	384.6240778
273	596.708352	381.9093544
274	593.022335	379.2301309
275	589.2921011	376.5465017
276	585.6146469	374.028457
277	582.1936704	371.8095544
278	578.7055431	369.32394
279	575.0831972	366.6085689
280	571.5305343	364.1999825
281	568.2124401	361.7773316
282	564.4762444	359.3034381
283	561.034174	356.823417
284	557.5711351	354.5309328
285	554.0517341	352.1137771
286	550.7088626	349.9171505
287	547.2076209	347.4817378
288	543.9871381	345.030196
289	540.6089547	342.5576628
290	537.1836649	340.1581798
291	533.9455093	337.8217162
292	530.4320914	335.4504942
293	527.3499555	333.3678414
294	524.2429398	331.3320522
295	521.2940102	329.1723972
296	517.980135	326.8210722
297	514.8740682	324.8708273
298	511.6545353	322.6838304
299	508.4132796	320.3392663
300	505.3330046	318.3167623
301	502.5398503	316.237935
302	499.2078613	314.0006174
303	496.0472402	311.8655793
304	493.095431	309.7267264
305	489.9944357	307.7322007
306	486.9449644	305.6624055
307	484.1905702	303.6253204
308	481.3134126	301.8249086
309	478.3762597	299.7563277
310	475.5045374	297.7840435
311	472.7730718	295.8382
312	469.947537	293.95388
313	467.6342664	292.0228207
314	464.9347268	289.942636
315	462.0020582	287.9164862
316	459.2301875	285.9379983
317	456.4371567	283.9902968
318	453.6586332	282.0536442
319	450.8267633	280.075972
320	448.2422987	278.3347328
321	445.6370603	276.4001727
322	442.9264127	274.5208603
323	440.2552611	272.7302677
324	437.7596121	271.254095
325	435.234646	269.4349155
326	432.8978595	267.7651268
327	430.4522357	265.9408944
328	427.912098	264.1042234
329	425.2893207	262.3014997
330	422.8491262	260.7174881
331	420.4494489	259.0321103
332	418.1382004	257.3207767
333	415.7695771	255.6342154
334	413.2266194	253.968315
335	410.6613074	252.2610462
336	408.2854124	250.6915624
337	406.150725	249.230388
338	403.862571	247.8503593
339	401.4418037	246.4309137
340	399.2026201	245.085145
341	396.8250809	243.5017697
342	394.4341659	241.9217642
343	392.2617878	240.3594012
344	389.9456657	238.9275724
345	387.778229	237.6254572
346	385.6256079	236.3137024
347	383.3186644	234.8396625
348	381.0736561	233.3412275
349	378.8870323	232.0232556
350	376.6403263	230.5164309
351	374.4430006	229.1773547
352	372.2266851	227.7345177
353	369.9337468	226.2205759
354	367.9809011	224.8816243
355	365.7630376	223.4439325
356	363.8457265	222.028351
357	361.8761221	220.7434851
358	359.9761876	219.3918604
359	358.2461406	218.0514083
360	356.3086135	216.7156883
361	354.217611	215.2884565
362	352.4381225	214.1642738
363	350.3234481	212.7668576
364	348.3095716	211.4082313
365	346.4420806	210.2757587
366	344.5026956	209.0854356
367	342.4559243	207.8332857
368	340.5176324	206.5753342
369	338.911184	205.440267
370	337.0262853	204.2796685
371	335.0966325	202.9456035
372	333.2301949	201.7395992
373	331.3337236	200.4579604
374	329.6063481	199.4119452
375	328.0089348	198.332276
376	326.1411052	197.2803328
377	324.3672222	196.269903
378	322.4636108	195.0237789
379	320.7972206	193.8176617
380	319.1094355	192.7062916
381	317.396124	191.5917922
382	315.6541969	190.4461148
383	313.935606	189.2721621
384	312.3246799	188.2289057
385	310.6621139	187.1307575
386	308.9471106	185.9901007
387	307.4002011	184.9651763
388	305.7340491	183.8657451
389	304.3457655	183.0288076
390	302.6503643	182.0603334
391	301.0725284	180.9923673
392	299.5568175	179.9454022
393	297.8818659	178.8889565
394	296.261547	177.8519709
395	294.8110167	176.8603092
396	293.2558355	175.8580336
397	291.7040821	174.8149795
398	290.3814879	173.8558764
399	288.768233	172.8237107
400	287.3493766	171.8563758
401	285.8287953	170.8970112
402	284.5710752	170.1441979
403	283.151392	169.2103032
404	281.7886555	168.3942331
405	280.3943663	167.5666626
406	278.8855935	166.676716
407	277.4847343	165.8784252
408	275.992404	164.9663917
409	274.6649361	164.2530562
410	273.2757497	163.2998782
411	272.0575045	162.4396267
412	270.632489	161.5568332
413	269.3097704	160.6816384
414	267.8625315	159.829951
415	266.4252316	158.9340398
416	265.2095676	158.1979467
417	263.853941	157.3836471
418	262.5711046	156.4971
419	261.2850942	155.8019982
420	260.0957014	155.026131
421	258.765259	154.2176328
422	257.517929	153.4518261
423	256.2821284	152.7682937
424	255.124378	151.994793
425	253.9914466	151.2197042
426	252.8069538	150.4295808
427	251.6540605	149.6680181
428	250.4243322	148.9480103
429	249.1764569	148.2135746
430	247.9429414	147.4354373
431	246.6843289	146.6802134
432	245.5328479	145.9665392
433	244.3068157	145.2684303
434	243.2504292	144.512896
435	242.1976175	143.9566536
436	241.0969935	143.1937919
437	239.9051957	142.4479506
438	238.7742331	141.7109097
439	237.6725701	140.9892132
440	236.581555	140.3159569
441	235.433292	139.6075465
442	234.3729495	138.9479951
443	233.23902	138.2888732
444	232.2599978	137.7117375
445	231.2333432	137.0542234
446	230.2314725	136.5096797
447	229.1353165	135.8468764
448	228.0233927	135.19083
449	226.9489082	134.530306
450	226.0151905	133.9724841
451	225.0992405	133.4514608
452	224.0111523	132.855889
453	222.9451129	132.2392791
454	222.0666524	131.7578409
455	221.1218836	131.1857505
456	220.1240162	130.6740863
457	219.2697781	130.0840432
458	218.2707278	129.4997816
459	217.3172084	128.9872754
460	216.4401811	128.5013548
461	215.4583566	127.9944169
462	214.544293	127.4818822
463	213.6669708	126.9663571
464	212.8017946	126.4212254
465	211.8977046	125.9124071
466	210.9610196	125.3795726
467	210.0520652	124.8545129
468	209.2177328	124.3214276
469	208.3638149	123.8039907
470	207.4753701	123.2758418
471	206.5269327	122.730456
472	205.6645686	122.2169974
473	204.819162	121.7459869
474	203.9815566	121.2473231
475	203.1565324	120.8211618
476	202.3210738	120.3096997
477	201.4662399	119.7992138
478	200.6503011	119.3060069
479	199.8614619	118.8529068
480	198.9965344	118.3751774
481	198.2789297	117.9045863
482	197.5248916	117.4530407
483	196.7075513	116.9931286
484	195.9391611	116.5934813
485	195.1715204	116.1780449
486	194.5283806	115.7944048
487	193.8142086	115.3458624
488	193.1244643	115.0022095
489	192.4781666	114.6249057
490	191.7161294	114.2073191
491	190.960028	113.7694301
492	190.265761	113.3855229
493	189.5546927	112.9716095
494	188.9420931	112.5474037
495	188.2942209	112.163676
496	187.594052	111.7186251
497	186.885048	111.3188991
498	186.1555665	110.9415328
499	185.5384207	110.5785917
500	184.849314	110.1952967
501	184.2111243	109.8601764
502	183.5380163	109.5279071
503	182.9519534	109.1361899
504	182.3930626	108.8083318
505	181.6898874	108.4026578
506	181.0494779	108.0351685
507	180.418547	107.6611337
508	179.8069364	107.3645112
509	179.1927254	106.97336
510	178.5240018	106.6132309
511	177.9149491	106.2478278
512	177.303382	105.928274
513	176.6935781	105.595642
514	176.0931277	105.2457696
515	175.5181806	104.9483777
516	174.9241179	104.6353218
517	174.4316627	104.2884889
518	173.8569831	103.9426461
519	173.3120226	103.636473
520	172.751394	103.3291978
521	172.1935972	102.9997589
522	171.6718706	102.6846736
523	171.1369619	102.3855066
524	170.6420323	102.0789067
525	170.1019362	101.7684804
526	169.5809726	101.4219515
527	168.9897077	101.1340572
528	168.5082301	100.8657834
529	167.993699	100.5881498
530	167.4877242	100.3008986
531	166.9706186	100.0326831
532	166.4653151	99.74251221
533	165.9330233	99.46786363
534	165.4303846	99.16333387
535	165.0127819	98.86851753
536	164.5423639	98.58907947
537	164.0773018	98.30157597
538	163.6249825	98.05741986
539	163.1518657	97.78066469
540	162.7548546	97.56580055
541	162.3112789	97.30354242
542	161.8216457	97.05920147
543	161.3761676	96.7804974
544	160.9141259	96.54577442
545	160.4564488	96.30167116
546	160.0699124	96.1007506
547	159.5972769	95.83983203
548	159.1558265	95.59400696
549	158.7311404	95.36525372
550	158.3088842	95.14217298
551	157.8897673	94.91987632
552	157.4956435	94.68872179
553	157.0661025	94.4719549
554	156.619743	94.22213926
555	156.1631388	93.98881713
556	155.7472055	93.74216428
557	155.3646487	93.55897626
558	154.9542433	93.31325602
559	154.5326793	93.10197576
560	154.1318854	92.89168119
561	153.7323095	92.64933387
562	153.3648793	92.44250808
563	152.999054	92.22901665
564	152.565868	91.99458035
565	152.1908288	91.77133125
566	151.817764	91.55648917
567	151.468954	91.38530847
568	151.1270546	91.16426039
569	150.7654994	90.96079545
570	150.3999431	90.7523862
571	150.0204156	90.54325869
572	149.6775286	90.35578683
573	149.3389704	90.16305694
574	149.0060863	89.9801091
575	148.6756243	89.75949425
576	148.3264268	89.56583731
577	147.9543527	89.36104388
578	147.5477299	89.16081178
579	147.1838804	88.95564332
580	146.8091234	88.71019978
581	146.4810926	88.54624429
582	146.1331101	88.34375934
583	145.7979352	88.15277385
584	145.4639145	87.9610706
585	145.1095742	87.78412173
586	144.8004699	87.57728761
587	144.5078904	87.40987293
588	144.2058311	87.24667801
589	143.9061941	87.02645061
590	143.5670147	86.8232319
591	143.2274098	86.62514488
592	142.9133616	86.47779283
593	142.6143753	86.32903679
594	142.3035222	86.14581467
595	141.9650858	85.98532601
596	141.640906	85.80880902
597	141.3306578	85.60258942
598	141.0156143	85.4213643
599	140.7193199	85.24191893
600	140.4757648	85.08954683
601	140.1946124	84.93717303
602	139.9070037	84.76022488
603	139.6203427	84.57996429
604	139.30568	84.39845511
605	139.0516303	84.26668266
606	138.7816042	84.0827745
607	138.50498	83.90382098
608	138.2488593	83.74553557
609	137.9438216	83.59453336
610	137.6883947	83.45205069
611	137.4123583	83.29729646
612	137.1578342	83.14192545
613	136.8586699	82.99574918
614	136.6113869	82.85943134
615	136.3249202	82.70813662
616	136.0712925	82.5662577
617	135.8353899	82.44347561
618	135.5666398	82.293681
619	135.2700621	82.15309089
620	134.985093	81.99023643
621	134.7205282	81.83876362
622	134.511211	81.72364458
623	134.2998233	81.61104056
624	134.0503384	81.43938842
625	133.758977	81.27097973
626	133.4936736	81.13415392
627	133.2638242	80.98781333
628	133.0186926	80.83411268
629	132.7443541	80.66106721
630	132.4860186	80.51118442
631	132.2552115	80.3847468
632	132.040301	80.21595064
633	131.7780283	80.05606349
634	131.5397157	79.92561958
635	131.2878882	79.79769628
636	131.056702	79.62485946
637	130.8609886	79.50485105
638	130.6317928	79.35127038
639	130.4288484	79.23674978
640	130.2527013	79.14199035
641	130.0095456	79.01122839
642	129.7927084	78.84594196
643	129.5751619	78.72071262
644	129.384047	78.61266266
645	129.1600443	78.47469045
646	128.9578374	78.355169
647	128.6714836	78.2043207
648	128.4615	78.08831212
649	128.2569202	77.97115557
650	128.038373	77.8286892
651	127.8560783	77.72788121
652	127.6851944	77.6075128
653	127.4642682	77.48783735
654	127.2878529	77.37647384
655	127.1117474	77.27544717
656	126.9304483	77.16111743
657	126.7356273	77.01242905
658	126.5629804	76.91896156
659	126.3649102	76.78728107
660	126.1829001	76.64962531
661	126.01096	76.52692088
662	125.8374033	76.39372299
663	125.6157747	76.27627221
664	125.4636156	76.18901435
665	125.2786719	76.05305271
666	125.0775542	75.96272654
667	124.8861598	75.84702099
668	124.6900951	75.7223653
669	124.507431	75.62121289
670	124.319316	75.52006764
671	124.1504718	75.40108778
672	123.9982371	75.31380492
673	123.7690804	75.1875184
674	123.6058375	75.09918658
675	123.464427	74.99170292
676	123.2668349	74.88881632
677	123.049114	74.78980654
678	122.897068	74.72294827
679	122.722523	74.62939969
680	122.5323739	74.53636163
681	122.3788969	74.45837887
682	122.1791482	74.36721069
683	121.9597355	74.26294581
684	121.7711274	74.1585962
685	121.6076939	74.0744663
686	121.4040228	73.96612865
687	121.213178	73.85050786
688	121.0300879	73.74465496
689	120.850329	73.6557211
690	120.6822445	73.56568188
691	120.4887014	73.4391673
692	120.3059239	73.33588068
693	120.1221571	73.22139624
694	119.9679596	73.12110787
695	119.8287262	73.03197848
696	119.6744378	72.94488757
697	119.4837449	72.85200561
698	119.3275993	72.75910741
699	119.1709302	72.67306835
700	119.0198758	72.56402138
701	118.8786311	72.48572532
702	118.7583193	72.39838573
703	118.5984183	72.27116917
704	118.4210612	72.17124489
705	118.2858972	72.09149927
706	118.0715129	71.98273286
707	117.9476834	71.92069095
708	117.7644185	71.81403757
709	117.6211098	71.74274217
710	117.5017654	71.69144223
711	117.3445077	71.61127245
712	117.1951152	71.51194361
713	117.0643002	71.43305337
714	116.9284784	71.32950965
715	116.7769599	71.23833227
716	116.6318745	71.16112078
717	116.479786	71.06438168
718	116.3333483	70.99098884
719	116.2143643	70.93473609
720	116.0169721	70.83469884
721	115.8914191	70.76246006
722	115.7425748	70.66832456
723	115.6002524	70.60940787
724	115.4643053	70.5536519
725	115.3180255	70.47884004
726	115.1925115	70.41529845
727	115.0569569	70.33839994
728	114.926918	70.27536631
729	114.781365	70.19842845
730	114.6283009	70.11510717
731	114.5288513	70.06680892
732	114.3542428	69.96579189
733	114.234824	69.88807604
734	114.0881826	69.8211101
735	113.9111628	69.70889533
736	113.7154666	69.60160426
737	113.5800003	69.52161124
738	113.4484544	69.44009266
739	113.3283388	69.37557626
740	113.1951323	69.28264445
741	113.082508	69.22533438
742	112.9441112	69.15934597
743	112.82529	69.10522627
744	112.6889395	69.01660861
745	112.5534087	68.92164022
746	112.415306	68.84508235
747	112.2948628	68.76893759
748	112.172169	68.66896826
749	112.0459396	68.61933007
750	111.8941311	68.54928736
751	111.7873774	68.47229753
752	111.653916	68.38806979
753	111.5436608	68.34478403
754	111.4501922	68.28325575
755	111.2845633	68.213959
756	111.169095	68.15884635
757	111.0526302	68.1155433
758	110.9488927	68.06645532
759	110.8512252	68.02091594
760	110.6774527	67.93766664
761	110.5691383	67.86722064
762	110.4458379	67.80666227
763	110.3277753	67.75314797
764	110.2235294	67.69592026
765	110.0631079	67.61207231
766	109.9027279	67.53481657
767	109.785366	67.4934203
768	109.6791259	67.43129784
769	109.5811289	67.39880129
770	109.4687143	67.34954883
771	109.3596494	67.29498624
772	109.2422878	67.24067697
773	109.0659807	67.15277894
774	108.9610387	67.10722611
775	108.839605	67.054651
776	108.7248459	66.99266752
777	108.5917082	66.92796567
778	108.485844	66.87211758
779	108.376914	66.82690318
780	108.2843801	66.75892629
781	108.1799723	66.6976383
782	108.0824587	66.64564474
783	107.9741829	66.60460467
784	107.8806452	66.56915723
785	107.7543906	66.50034353
786	107.6347911	66.4076578
787	107.5504273	66.36978325
788	107.4544751	66.30719556
789	107.3415815	66.24307405
790	107.2052621	66.1795341
791	107.0967761	66.12643025
792	106.9790314	66.08124581
793	106.8802815	66.01751495
794	106.751993	65.93551409
795	106.6552752	65.88179365
796	106.5457987	65.83459903
797	106.4273578	65.78247821
798	106.3233178	65.73719301
799	106.2081953	65.68414485
800	106.1210356	65.62852204
801	106.0104202	65.57559565
802	105.9223054	65.51578988
803	105.8379894	65.4833305
804	105.7361613	65.44290621
805	105.6541048	65.39949167
806	105.5491753	65.34319219
807	105.4539388	65.29201785
808	105.3502477	65.25223164
809	105.243073	65.18263895
810	105.13859	65.10173961
811	105.0535461	65.05484839
812	104.9955178	65.03854529
813	104.8466158	64.96637562
814	104.7524305	64.8914199
815	104.5611596	64.8107498
816	104.4761009	64.77636187
817	104.3877808	64.74057075
818	104.2878285	64.65278141
819	104.1229129	64.57761982
820	104.008545	64.50806656
821	103.9013653	64.45501149
822	103.8156244	64.40333414
823	103.7583364	64.37175981
824	103.6661304	64.304639
825	103.558734	64.24989372
826	103.4413786	64.17949475
827	103.349103	64.11659796
828	103.2557778	64.08565586
829	103.1573572	64.0276902
830	103.092976	63.99214122
831	102.9392259	63.90071816
832	102.8550154	63.85238491
833	102.6976368	63.77616267
834	102.6193076	63.74700577
835	102.5172012	63.69213813
836	102.4281697	63.62856216
837	102.3478918	63.58037896
838	102.2449832	63.52187612
839	102.1262039	63.46069689
840	102.004827	63.40543933
841	101.8239651	63.29887298
842	101.7619892	63.26258323
843	101.6416955	63.21286146
844	101.5373463	63.15281957
845	101.4593892	63.11959155
846	101.3731933	63.07327511
847	101.2931518	63.04127664
848	101.2137742	63.00075036
849	101.1262614	62.97325493
850	101.0010601	62.89391421
851	100.8758038	62.82047752
852	100.7713518	62.75778203
853	100.6885975	62.72809262
854	100.5425302	62.66045858
855	100.4597805	62.61787817
856	100.3613638	62.56465812
857	100.283482	62.53031001
858	100.2065592	62.49311529
859	100.1191181	62.43411293
860	100.0420842	62.41034162
861	99.9670007	62.376806
862	99.87502293	62.33770914
863	99.74992455	62.26324882
864	99.67563409	62.23806287
865	99.59639852	62.19563047
866	99.52202387	62.15302882
867	99.40774021	62.09612866
868	99.32494795	62.0306953
869	99.23025781	61.97872644
870	99.1496118	61.92027686
871	99.0803102	61.88876493
872	98.9615006	61.81208478
873	98.8845844	61.74446484
874	98.82217688	61.71999451
875	98.73731439	61.67395549
876	98.67174788	61.63272213
877	98.60292111	61.58427224
878	98.49580427	61.53139214
879	98.42192645	61.50287732
880	98.35565475	61.45840289
881	98.26473814	61.42038534
882	98.19179352	61.37726156
883	98.10634436	61.34616218
884	98.04397351	61.31203928
885	97.97355904	61.28684186
886	97.90428983	61.2471042
887	97.8203206	61.20894452
888	97.70852294	61.14511023
889	97.57714158	61.08178973
890	97.51891841	61.03969026
891	97.44385154	60.98452593
892	97.37229615	60.94020595
893	97.3281137	60.91444983
894	97.25248083	60.87244307
895	97.18668302	60.83041662
896	97.04029702	60.76965623
897	96.96317352	60.74398038
898	96.88660529	60.71092569
899	96.81887484	60.67374063
900	96.66343655	60.60050288
901	96.60506333	60.5572268
902	96.53666373	60.5208346
903	96.47862031	60.49739563
904	96.41459004	60.47575394
905	96.33066865	60.41147474
906	96.26190626	60.36203422
907	96.19342096	60.32425298
908	96.11600084	60.26763677
909	96.03161225	60.23074564
910	95.95103816	60.1916286
911	95.86579761	60.1595384
912	95.77563063	60.10379411
913	95.71137373	60.08210858
914	95.60291333	60.03583498
915	95.54367629	59.98997478
916	95.46626737	59.9547123
917	95.39321792	59.90516474
918	95.32188643	59.86418611
919	95.22190949	59.80682399
920	95.14081009	59.75644105
921	95.05269895	59.70819415
922	94.97718334	59.66000568
923	94.87013526	59.5908661
924	94.81406213	59.55795358
925	94.73994847	59.50466638
926	94.66913812	59.47704282
927	94.59783583	59.41337192
928	94.53700199	59.37821536
929	94.46312558	59.34225666
930	94.39646935	59.29360271
931	94.33120298	59.25563356
932	94.27048161	59.23079389
933	94.17965659	59.19036262
934	94.08939875	59.14695761
935	94.0229177	59.11527891
936	93.9755776	59.10451744
937	93.87879934	59.05345523
938	93.83388854	59.0416782
939	93.76750104	58.99752208
940	93.6188008	58.92864718
941	93.54199854	58.8901867
942	93.45519123	58.85546833
943	93.33656187	58.80232711
944	93.29139887	58.78977644
945	93.13951559	58.71972862
946	93.06550077	58.69016554
947	92.99532684	58.66325114
948	92.93978379	58.63968822
949	92.87703847	58.62020043
950	92.81595498	58.60314818
951	92.75022893	58.56559858
952	92.66724235	58.52809553
953	92.59943448	58.48981278
954	92.5369068	58.43779164
955	92.47641889	58.40822419
956	92.39243065	58.35360399
957	92.32695448	58.31806599
958	92.26578766	58.28461926
959	92.21038646	58.24943225
960	92.15168807	58.22730621
961	92.08888751	58.1896539
962	91.92977133	58.11383123
963	91.86734138	58.08243
964	91.80628859	58.05765975
965	91.65075519	57.98503802
966	91.59002858	57.95181283
967	91.50481123	57.90451829
968	91.43830365	57.86163336
969	91.37037049	57.82259004
970	91.30234267	57.78519484
971	91.15479742	57.71727679
972	91.11732548	57.69951658
973	90.99586425	57.64293775
974	90.95113802	57.62746273
975	90.88969564	57.58585923
976	90.83766418	57.56514931
977	90.71525104	57.50635205
978	90.67482649	57.4831903
979	90.58730697	57.42876073
980	90.54332023	57.41070242
981	90.46453722	57.37349661
982	90.40640552	57.32887539
983	90.26846986	57.26832234
984	90.19619241	57.22546757
985	90.13633313	57.17884756
986	90.06200784	57.14561529
987	90.01117724	57.11584007
988	89.94695839	57.06932289
989	89.82036653	57.00798292
990	89.79115675	56.99645472
991	89.73572439	56.97768529
992	89.69542616	56.96617729
993	89.63562755	56.94663994
994	89.56664341	56.90066156
995	89.48945749	56.87063074
996	89.43853103	56.85659308
997	89.38640842	56.81673359
998	89.32686709	56.79768545
999	89.2577889	56.75832421
1000	89.20790273	56.74187573
1001	89.14752993	56.70763828
1002	89.08237447	56.67845568
1003	89.02618043	56.64840612
1004	88.96892824	56.61696424
1005	88.89812353	56.56677398
1006	88.83545556	56.54621429
1007	88.77899871	56.52619081
